model,imp,boot_i_start,boot_i_end,stroke_defn
weighted,1,1,50,stroke_combined
weighted,2,1,50,stroke_combined
weighted,2,1,50,stroke_combined
weighted,2,1,50,stroke_combined
weighted,2,1,50,stroke_combined
weighted,4,0,50,stroke_combined
weighted,4,1,50,stroke_combined
weighted,4,1,50,stroke_combined
weighted,4,1,50,stroke_combined
weighted,5,1,50,stroke_combined
weighted,1,1,50,stroke_isd_acvd
weighted,1,1,50,stroke_isd_acvd
weighted,2,1,50,stroke_isd_acvd
weighted,3,1,50,stroke_isd_acvd
weighted,3,1,50,stroke_isd_acvd
weighted,3,1,50,stroke_isd_acvd
weighted,4,1,50,stroke_isd_acvd
weighted,5,1,50,stroke_isd_acvd
weighted,1,1,50,stroke_combined
weighted,2,1,50,stroke_combined
weighted,2,1,50,stroke_combined
weighted,2,1,50,stroke_combined
weighted,2,1,50,stroke_combined
weighted,4,0,50,stroke_combined
weighted,4,1,50,stroke_combined
weighted,4,1,50,stroke_combined
weighted,4,1,50,stroke_combined
weighted,5,1,50,stroke_combined
weighted,1,1,50,stroke_isd_acvd
weighted,1,1,50,stroke_isd_acvd
weighted,2,1,50,stroke_isd_acvd
weighted,3,1,50,stroke_isd_acvd
weighted,3,1,50,stroke_isd_acvd
weighted,3,1,50,stroke_isd_acvd
weighted,4,1,50,stroke_isd_acvd
weighted,5,1,50,stroke_isd_acvd
